Category & Name of the Shareholders,No. of shareholder,No. of fully paid up equity shares held,Total no. shares held,"Shareholding % calculated as per SCRR, 1957 As a % of (A+B+C2)",No. of Voting Rights,Total as a % of Total Voting right,No. of equity shares held in dematerialized form(Not Applicable),Script,ScriptCode,marketCap,No. of Shares Underlying Outstanding convertible securities (including Warrants),"Total shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)",No.(a),As a % of total Shares held(b),Partly paid-up equity shares held,Total as a % of (A+B+C),Amount Invested (in Cr),Total Investment by Shareholder
RAVI KANAIYALAL SHETH,1,3314792,3314792.0,7.19,3314792.0,7.19,3314792.0,63MOONS,526881,3623.85,,,,,,,260.554815,260.554815
Jayeshkumar Virendrabhai Patel,1,1241394,1241394.0,1.13,1241394.0,1.13,1241394.0,ANURAS,543275,8470.76,,1.09,,0.0,,,95.719588,259.036588
Jayeshkumar Virendrabhai Patel,1,4122565,4122565.0,1.0,4122565.0,1.0,4122565.0,BLS,540073,16331.7,,,,,,,163.317,259.036588
Rekha N Shah,1,157014,157014.0,1.47,157014.0,1.47,157014.0,LMW,500252,17276.01,,,,,,,253.957347,253.957347
VANAJA SUNDAR IYER,1,848508,848508.0,2.74,848508.0,2.74,848508.0,HARIOMPIPE,543517,1183.57,,,,0.0,,,32.429818,253.612855
VANAJA SUNDAR IYER,1,650888,650888.0,2.06,650888.0,2.06,650888.0,BAJAJHCARE,539872,2238.78,,1.93,650888.0,100.0,,,46.118868000000006,253.612855
VANAJA SUNDAR IYER,1,765734,765734.0,1.39,765734.0,1.39,765734.0,AURIONPRO,532668,7835.63,,,,0.0,,,108.915257,253.612855
VANAJA SUNDAR IYER,1,449675,449675.0,1.36,449675.0,1.36,449675.0,STOVEKRAFT,543260,2611.67,,,,,,,35.518712,253.612855
VANAJA SUNDAR IYER,1,100000,100000.0,1.0,100000.0,1.0,100000.0,TANFACIND,506854,3063.02,,,,,,,30.6302,253.612855
MANJU JAIN,1,3564891,3564891.0,2.57,3564891.0,2.57,3564891.0,INTELLECT,538835,9851.69,,,,,,,253.188433,253.188433
Dilipkumar Lakhi,1,4850860,4850860.0,3.5,4850860.0,3.5,4850860.0,WELENT,532553,6909.62,,,,,,,241.8367,253.058515
Dilipkumar Lakhi,1,5870702,5870702.0,3.45,5870702.0,3.45,5870702.0,ALMONDZ,531400,325.27,,3.15,,,,,11.221815,253.058515
Desingu Rajan P,1,1461857,1461857.0,2.61,1461857.0,2.61,1461857.0,DATAPATTNS,543428,9590.05,,,,,,,250.30030499999995,250.30030499999995
SANJIV DHIRESHBHAI SHAH,1,57317,57317.0,6.64,57317.0,6.64,57317.0,VADILENT,519152,906.6,,,,,,,60.198240000000006,249.260579
SANJIV DHIRESHBHAI SHAH,1,182772,182772.0,3.37,182772.0,3.37,182772.0,ABCINDQ,520123,53.14,,,,,,,1.790818,249.260579
SANJIV DHIRESHBHAI SHAH,1,347826,347826.0,2.89,347826.0,2.89,347826.0,KERALAYUR,530163,467.94,,,,0.0,,,13.523466,249.260579
SANJIV DHIRESHBHAI SHAH,1,208982,208982.0,1.85,208982.0,1.85,208982.0,BENGALASM,533095,8308.73,,,,,,,153.71150500000002,249.260579
SANJIV DHIRESHBHAI SHAH,1,256246,256246.0,1.73,256246.0,1.73,256246.0,PHOENIXTN,537839,420.5,,1.22,,0.0,,,7.274649999999999,249.260579
SANJIV DHIRESHBHAI SHAH,1,552639,552639.0,1.0,552639.0,1.0,552639.0,AMNPLST,506248,1276.19,,,,,,,12.7619,249.260579
VISALAM G,1,15125000,15125000.0,2.04,15125000.0,2.04,15125000.0,CUB,532210,11855.77,,,,,,,241.85770800000003,241.85770800000003
Vijaykumar Ramchandra Rathi,1,2093214,2093214.0,3.02,2093214.0,3.02,2093214.0,SUDARSCHEM,506655,7848.25,,2.98,,,,,237.01715,237.01715
NITIN MANILAL THAKKER,1,1420000,1420000.0,2.17,1420000.0,2.17,1420000.0,JLHL,543980,10870.19,,,,0.0,,,235.883123,235.883123
SURESH KUMAR AGARWAL,1,980616,980616.0,3.38,980616.0,3.38,980616.0,JINDRILL,511034,2676.26,,,,,,,90.457588,234.641671
SURESH KUMAR AGARWAL,1,930232,930232.0,2.81,930232.0,2.81,930232.0,STOVEKRAFT,543260,2611.67,,,,,,,73.387927,234.641671
SURESH KUMAR AGARWAL,1,288185,288185.0,2.67,288185.0,2.67,288185.0,ADVAIT,543230,1256.16,,2.67,288185.0,100.0,,,33.539472,234.641671
SURESH KUMAR AGARWAL,1,144192,144192.0,1.29,144192.0,1.29,144192.0,BCONCEPTS,543442,376.92,,,,,,,4.862268,234.641671
SURESH KUMAR AGARWAL,1,1400000,1400000.0,1.22,1400000.0,1.22,1400000.0,FCL,533333,2655.28,,1.17,,0.0,,,32.394416,234.641671
Rohit Kishor Rathi,1,2056092,2056092.0,2.97,2056092.0,2.97,2056092.0,SUDARSCHEM,506655,7848.25,,2.93,,,,,233.093025,233.093025
RINU SINHA,1,5249186,5249186.0,4.08,5249186.0,4.08,5249186.0,AVL,540205,5596.2,,,,,,,228.32496,228.32496
SNEHAL BHUPENDRA SHAH,1,2234832,2234832.0,1.86,2234832.0,1.86,2234832.0,SHAKTIPUMP,531431,12241.05,,,,,,,227.68353,227.68353
Madanlal Jawanmalji Jain,1,773752,773752.0,5.19,773752.0,5.19,773752.0,NILKAMAL,523385,2387.23,,,,,,,123.897237,223.524331
Madanlal Jawanmalji Jain,1,2150027,2150027.0,2.85,2150027.0,2.85,2150027.0,HUHTAMAKI,509820,1418.3,,,,,,,40.42155,223.524331
Madanlal Jawanmalji Jain,1,309148,309148.0,2.58,309148.0,2.58,309148.0,WIMPLAST,526586,581.8,,,,,,,15.01044,223.524331
Madanlal Jawanmalji Jain,1,263094,263094.0,2.48,263094.0,2.48,263094.0,PODDARMENT,524570,320.63,,,,,,,7.951624,223.524331
Madanlal Jawanmalji Jain,1,182659,182659.0,1.68,182659.0,1.68,182659.0,SUMMITSEC,533306,2157.35,,,,,,,36.24348,223.524331
Ashok Kumar Shukla,1,167179,167179.0,1.12,167179.0,1.12,167179.0,PTCIL,539006,19733.57,,,,,,,221.01598400000003,221.01598400000003
SACHIN BANSAL (PARTNER OF NAVODAYA ENTERPRISES),1,1329000,1329000.0,9.18,1329000.0,9.18,1329000.0,SMLISUZU,505192,2394.04,,,,,,,219.772872,219.772872
Anuj A Sheth,1,3494340,3494340.0,1.44,3494340.0,1.44,3494340.0,ASAHIINDIA,515030,15216.21,,,,,,,219.113424,219.113424
DR NAVIN RAMJI DAVDA,1,1310700,1310700.0,2.0,1310700.0,2.0,1310700.0,JLHL,543980,10870.19,,,,0.0,,,217.4038,217.4038
Sundara Raghavan K,1,1246932,1246932.0,2.23,1246932.0,2.23,1246932.0,DATAPATTNS,543428,9590.05,,,,,,,213.858115,213.858115
Ramesh Hariharan,1,5547796,5547796.0,2.69,5547796.0,2.69,5547796.0,LATENTVIEW,543398,7865.53,,,,,,,211.582757,211.582757
SURAJ KHANDELWAL,1,2909467,2909467.0,1.59,2909467.0,1.59,2909467.0,JAIBALAJI,532976,13245.89,,,,0.0,,,210.609651,210.609651
HITESH NATWARLAL KAWA,1,2810500,2810500.0,5.65,2810500.0,5.65,2810500.0,ABINFRA,544281,610.81,,,,0.0,,,34.510765,205.694731
HITESH NATWARLAL KAWA,1,900000,900000.0,1.68,900000.0,1.68,900000.0,FISCHER,524743,4460.56,,1.65,,0.0,,,74.937408,205.694731
HITESH NATWARLAL KAWA,1,1598069,1598069.0,1.46,1598069.0,1.46,1598069.0,BALUFORGE,531112,6592.23,,1.32,,0.0,,,96.246558,205.694731
THOMAS JOHN MUTHOOT,1,18421050,18421050.0,14.52,18421050.0,14.52,18421050.0,FINKURVE,508954,1406.78,,,,,,,204.264456,204.264456
RAMAKANT JAGDISH TIBREWALA,1,1225000,1225000.0,1.87,1225000.0,1.87,1225000.0,JLHL,543980,10870.19,,,,0.0,,,203.272553,203.272553
Prashant Prakash Jadhav,1,5571538,5571538.0,1.07,5571538.0,1.07,5571538.0,FIRSTCRY,544226,18916.48,,,5571538.0,100.0,,,202.406336,202.406336
SONAL MAYUR DESAI,1,111439000,111439000.0,4.0,111439000.0,4.0,111439000.0,INFIBEAM,539807,4998.14,,,,,,,199.92560000000003,199.92560000000003
MAHESH RAMAKANT TIBREWALA,1,1191736,1191736.0,1.82,1191736.0,1.82,1191736.0,JLHL,543980,10870.19,,,,0.0,,,197.83745800000003,197.83745800000003
BRIJESH RAMAKANT TIBREWALA,1,1191772,1191772.0,1.82,1191772.0,1.82,1191772.0,JLHL,543980,10870.19,,,,0.0,,,197.83745800000003,197.83745800000003
Pradeep Kumar Agarwal,1,1700000,1700000.0,1.21,1700000.0,1.21,1700000.0,SIGNATURE,543990,16254.98,,,,0.0,,,196.685258,196.685258
ANGAD KUMAR,1,4434450,4434450.0,3.45,4434450.0,3.45,4434450.0,AVL,540205,5596.2,,,,,,,193.0689,193.0689
SUNITHA VEMULAPALLI,1,2016630,2016630.0,1.39,2016630.0,1.39,2016630.0,NAVA,513023,13857.11,,,,,,,192.613829,192.613829
DEEPAK BHAGNANI,1,4609604,4609604.0,9.85,4609604.0,9.85,4609604.0,NICCOPAR,526721,560.43,,,,,,,55.20235499999999,189.077251
DEEPAK BHAGNANI,1,3650058,3650058.0,1.33,3650058.0,1.33,3650058.0,JKTYRE,530007,8078.11,,,,,,,107.438863,189.077251
DEEPAK BHAGNANI,1,1602975,1602975.0,1.17,1602975.0,1.17,1602975.0,BAJAJCON,533229,2259.49,,,,,,,26.436032999999995,189.077251
UMAMAHESWARARAO DUTTA,1,4750000,4750000.0,4.4,4750000.0,4.51,4750000.0,BONDADA,543971,4294.49,,4.4,,0.0,,,188.95756,188.95756
Ramnika Singh,1,507611,507611.0,2.54,507611.0,2.54,507611.0,NATIONSTD,504882,7400.0,,,,,,,187.96,187.96
CHANDER BHATIA,1,1502000,1502000.0,1.26,1502000.0,1.26,1502000.0,ACE,532762,14902.07,,,,,,,187.766082,187.766082
ASHWIN GUPTA,1,5386028,5386028.0,2.23,5386028.0,2.23,5386028.0,GALLANTT,532726,8331.43,,,,,,,185.790889,185.790889
RAAMDEO RAMGOPAL AGRAWAL,1,182909,182909.0,1.6,182909.0,1.6,182909.0,MAHSCOOTER,500266,11567.88,,,,,,,185.08608,185.08608
KARTHIK SUNDAR,1,1021500,1021500.0,1.85,1021500.0,1.85,1021500.0,AURIONPRO,532668,7835.63,,,,0.0,,,144.959155,183.510115
KARTHIK SUNDAR,1,500000,500000.0,1.26,500000.0,1.26,500000.0,GENESYS,506109,3059.6,,,,,,,38.55096,183.510115
PAYAL BHANSHALI,1,2161905,2161905.0,1.2,2161905.0,1.2,2161905.0,RKFORGE,532527,15285.32,,,,0.0,,,183.42384,183.42384
YOGESH ANDLAY,1,2556047,2556047.0,1.84,2556047.0,1.84,2556047.0,INTELLECT,538835,9851.69,,,,,,,181.271096,181.271096
Madhup Agrawal,1,844771,844771.0,1.41,844771.0,1.41,844771.0,INDIAMART,542726,12826.17,,,,,,,180.848997,180.848997
Shivani T. Trivedi,1,567168,567168.0,2.84,567168.0,2.84,567168.0,ABMKNO,531161,310.53,,,,,,,8.819052,180.548443
Shivani T. Trivedi,1,297000,297000.0,1.01,297000.0,1.01,297000.0,ATUL,500027,17002.91,,,,,,,171.729391,180.548443
HARSHA REDDY PONGULETI,1,3552310,3552310.0,2.64,3552310.0,2.64,3552310.0,TANLA,532790,6763.85,,,,,,,178.56564,178.56564
ASHA MUKUL AGRAWAL,1,423180,423180.0,3.44,423180.0,3.44,423180.0,KDDL,532054,4034.72,,,,,,,138.794368,177.444084
ASHA MUKUL AGRAWAL,1,1433421,1433421.0,2.62,1433421.0,2.62,1433421.0,SIRCA,543686,1475.18,,,,,,,38.649716000000005,177.444084
NKSquared,1,1750688,1750688.0,2.05,1750688.0,2.05,1750688.0,NAZARA,543280,8477.31,,,,0.0,,,173.78485499999996,173.78485499999996
Tejas B. Trivedi,1,300332,300332.0,1.02,300332.0,1.02,300332.0,ATUL,500027,17002.91,,,,,,,173.429682,173.429682
Govindlal M Parikh,1,769712,769712.0,3.49,769712.0,3.49,769712.0,SUNCLAY,544066,4962.81,,,,,,,173.20206900000002,173.20206900000002
Radhakishan Shivkishan Damani,1,5351850,5351850.0,3.15,5351850.0,3.15,5351850.0,VSTIND,509966,4642.3,,,,,,,146.23245,172.730305
Radhakishan Shivkishan Damani,1,381000,381000.0,1.01,381000.0,1.01,381000.0,BFUTILITIE,532430,2623.55,,,,,,,26.497855,172.730305
ANANT JAIN,1,474147,474147.0,3.31,474147.0,3.31,474147.0,CUBEXTUB,526027,125.33,,,,,,,4.148422999999999,170.755543
ANANT JAIN,1,702594,702594.0,1.77,702594.0,1.77,702594.0,GENESYS,506109,3059.6,,,,,,,54.15492,170.755543
ANANT JAIN,1,642394,642394.0,1.4,642394.0,1.4,642394.0,SHAILY,501423,8032.3,,,,,,,112.4522,170.755543
SUNITA O HEMRAJANI,1,2207071,2207071.0,5.56,2207071.0,5.56,2207071.0,GENESYS,506109,3059.6,,,,,,,170.11375999999998,170.11375999999998
SUNIL KANT MUNJAL,1,3897856,3897856.0,3.72,3897856.0,3.72,3897856.0,JSFB,544118,4563.25,,,,0.0,,,169.7529,169.7529
R VENKATA NARAYANA,1,5673766,5673766.0,4.56,5673766.0,4.56,5673766.0,BHAGCHEM,531719,3705.94,,4.54,,0.0,,,168.990864,168.990864
DHEERAJ KUMAR LOHIA,1,592877,592877.0,4.75,592877.0,4.75,592877.0,MEDICAPQ,523144,56.93,,,,,,,2.704175,168.369252
DHEERAJ KUMAR LOHIA,1,171121,171121.0,4.04,171121.0,4.04,171121.0,STRGRENWO,526500,18.27,,,,,,,0.738108,168.369252
DHEERAJ KUMAR LOHIA,1,284540,284540.0,3.85,284540.0,3.85,284540.0,RISHITECH,523021,37.1,,,,,,,1.42835,168.369252
DHEERAJ KUMAR LOHIA,1,1021111,1021111.0,3.55,1021111.0,3.55,1021111.0,FIBERWEB,507910,126.28,,,,,,,4.482939999999999,168.369252
DHEERAJ KUMAR LOHIA,1,530730,530730.0,3.35,530730.0,3.32,530730.0,JSTL,538837,66.46,,,,,,,2.22641,168.369252
DHEERAJ KUMAR LOHIA,1,112361,112361.0,2.85,112361.0,2.85,112361.0,ZENIFIB,514266,29.54,,,,,,,0.84189,168.369252
DHEERAJ KUMAR LOHIA,1,151376,151376.0,2.72,151376.0,2.72,151376.0,CONTPTR,523232,66.53,,,,0.0,,,1.809616,168.369252
DHEERAJ KUMAR LOHIA,1,1393412,1393412.0,2.34,1393412.0,2.34,1393412.0,LINC,531241,668.96,,,,,,,15.653664,168.369252
DHEERAJ KUMAR LOHIA,1,445800,445800.0,2.18,445800.0,2.18,445800.0,VIRATCRA,519457,107.78,,,,,,,2.349604,168.369252
DHEERAJ KUMAR LOHIA,1,127641,127641.0,2.13,127641.0,2.13,127641.0,PHOTOQUP,526588,10.91,,,,,,,0.232383,168.369252
DHEERAJ KUMAR LOHIA,1,165266,165266.0,2.06,165266.0,2.06,165266.0,KEERTHI,518011,63.23,,,,,,,1.302538,168.369252
DHEERAJ KUMAR LOHIA,1,244094,244094.0,2.03,244094.0,2.03,244094.0,KERALAYUR,530163,467.94,,,,0.0,,,9.499182,168.369252
DHEERAJ KUMAR LOHIA,1,138449,138449.0,1.92,138449.0,1.92,138449.0,EPIC,530407,31.66,,,,,,,0.607872,168.369252
DHEERAJ KUMAR LOHIA,1,198258,198258.0,1.91,198258.0,1.91,198258.0,KPL,539997,709.06,,,,,,,13.543046,168.369252
DHEERAJ KUMAR LOHIA,1,196637,196637.0,1.79,196637.0,1.79,196637.0,PRIMAPLA,530589,144.27,,,,,,,2.582433,168.369252
DHEERAJ KUMAR LOHIA,1,306388,306388.0,1.66,306388.0,1.66,306388.0,EMMBI,533161,183.74,,1.59,,0.0,,,3.050084,168.369252
DHEERAJ KUMAR LOHIA,1,224000,224000.0,1.62,224000.0,1.62,224000.0,GOBLIN,542850,31.23,,,,,,,0.5059260000000001,168.369252
DHEERAJ KUMAR LOHIA,1,241361,241361.0,1.61,241361.0,1.61,241361.0,KFBL,507474,90.15,,,,,,,1.451415,168.369252
DHEERAJ KUMAR LOHIA,1,1011550,1011550.0,1.53,1011550.0,1.53,1011550.0,BIRLAPREC,522105,273.12,,1.46,,0.0,,,4.178736000000001,168.369252
DHEERAJ KUMAR LOHIA,1,137571,137571.0,1.52,137571.0,1.52,137571.0,KUWERIN,530421,10.89,,,,,,,0.165528,168.369252
DHEERAJ KUMAR LOHIA,1,138617,138617.0,1.5,138617.0,1.5,138617.0,VINEETLAB,543298,33.86,,,,,,,0.5079,168.369252
DHEERAJ KUMAR LOHIA,1,111641,111641.0,1.4,111641.0,1.4,111641.0,ITHL,500213,366.35,,,,,,,5.1289,168.369252
DHEERAJ KUMAR LOHIA,1,130687,130687.0,1.27,130687.0,1.27,130687.0,PWASML,531437,28.94,,,,,,,0.367538,168.369252
DHEERAJ KUMAR LOHIA,1,89799,89799.0,1.21,89799.0,1.21,89799.0,GUJTERC,524314,50.1,,1.15,,,,,0.60621,168.369252
DHEERAJ KUMAR LOHIA,1,40239,40239.0,1.12,40239.0,1.12,40239.0,SHREEPAC,527005,24.43,,,,,,,0.273616,168.369252
DHEERAJ KUMAR LOHIA,1,247172,247172.0,1.06,247172.0,1.06,247172.0,MODAIRY,519287,128.45,,,,0.0,,,1.36157,168.369252
DHEERAJ KUMAR LOHIA,1,154373,154373.0,1.04,154373.0,1.04,154373.0,IZMO,532341,399.26,,,,0.0,,,4.152304,168.369252
DHEERAJ KUMAR LOHIA,1,51287,51287.0,1.03,51287.0,1.03,51287.0,BAPACK,523186,63.57,,,,,,,0.654771,168.369252
DHEERAJ KUMAR LOHIA,1,986580,986580.0,1.02,986580.0,1.02,986580.0,OMINFRAL,531092,1172.5,,,,,,,11.9595,168.369252
DHEERAJ KUMAR LOHIA,1,137272,137272.0,1.02,137272.0,1.02,137272.0,SCOOBEEDAY,531234,126.23,,,,,,,1.287546,168.369252
DHEERAJ KUMAR LOHIA,1,137356,137356.0,1.01,137356.0,1.01,137356.0,MITSU,540078,126.26,,,,,,,1.275226,168.369252
DHEERAJ KUMAR LOHIA,1,3489268,3489268.0,1.01,3489268.0,1.01,3489268.0,RADIOCITY,540366,335.66,,,,,,,3.390166,168.369252
DHEERAJ KUMAR LOHIA,1,578962,578962.0,1.01,578962.0,1.01,578962.0,SBCL,513097,2791.5,,,,,,,28.19415,168.369252
DHEERAJ KUMAR LOHIA,1,60453,60453.0,1.01,60453.0,1.01,60453.0,EMPIND,509525,629.55,,,,,,,6.358454999999999,168.369252
DHEERAJ KUMAR LOHIA,1,174465,174465.0,1.0,174465.0,1.0,174465.0,CEINSYSTECH,538734,2724.31,,0.85,,0.0,,,27.2431,168.369252
DHEERAJ KUMAR LOHIA,1,478734,478734.0,1.0,478734.0,1.0,478734.0,ENIL,532700,625.44,,,,,,,6.2544,168.369252
Ajay Kumar Aggarwal,1,2812500,2812500.0,1.2,2812500.0,1.2,2812500.0,SWSOLAR,542760,5971.62,,,,0.0,,,71.65944,166.082775
Ajay Kumar Aggarwal,1,739746,739746.0,1.05,739746.0,1.05,739746.0,MEDIASSIST,544088,3131.07,,,,0.0,,,32.876235,166.082775
Ajay Kumar Aggarwal,1,264424,264424.0,1.0,264424.0,1.0,264424.0,NEOGEN,542665,4681.96,,,,,,,46.8196,166.082775
Ajay Kumar Aggarwal,1,284357,284357.0,1.0,284357.0,1.0,284357.0,AWHCL,543254,1472.75,,,,,,,14.7275,166.082775
Ketankumar Ratilal Patel,1,2335101,2335101.0,5.13,2335101.0,5.13,,ARVSMART,539301,3200.43,,,,,,,164.18205899999998,164.82751499999998
Ketankumar Ratilal Patel,1,524538,524538.0,2.38,524538.0,2.38,524538.0,HEADSUP,540210,27.12,,,,,,,0.645456,164.82751499999998
CHETAN JAYANTILAL SHAH,1,315000,315000.0,2.09,315000.0,2.09,315000.0,JUBLCPL,544355,1947.35,,,,,,,40.699615,164.692354
CHETAN JAYANTILAL SHAH,1,1900000,1900000.0,1.88,1900000.0,1.88,1900000.0,TIMEX,500414,1572.3,,,,,,,29.55924,164.692354
CHETAN JAYANTILAL SHAH,1,200000,200000.0,1.26,200000.0,1.26,200000.0,EVERESTIND,508906,756.59,,,,,,,9.533034,164.692354
CHETAN JAYANTILAL SHAH,1,1500000,1500000.0,1.11,1500000.0,1.11,1500000.0,NIITLTD,500304,1705.0,,,,,,,18.9255,164.692354
CHETAN JAYANTILAL SHAH,1,750000,750000.0,1.05,750000.0,1.05,750000.0,GOKEX,532630,6283.33,,,,,,,65.974965,164.692354
ROOPAL HITESH KAWA,1,1800029,1800029.0,3.36,1800029.0,3.36,1800029.0,FISCHER,524743,4460.56,,3.3,,0.0,,,149.874816,164.438564
ROOPAL HITESH KAWA,1,450000,450000.0,2.12,450000.0,2.12,450000.0,JYOTHI,531537,249.03,,2.05,450000.0,100.0,,,5.2794360000000005,164.438564
ROOPAL HITESH KAWA,1,754250,754250.0,1.52,754250.0,1.52,754250.0,ABINFRA,544281,610.81,,,,0.0,,,9.284312,164.438564
SUBODH MASKARA,1,4544345,4544345.0,2.69,4544345.0,2.7,4544345.0,BBOX,500463,6110.88,,2.56,,0.0,,,164.382672,164.382672
DEVINENI NAGALAKSHMI,1,1240009,1240009.0,1.22,1240009.0,1.22,1240009.0,RAINBOW,543524,13222.03,,,,0.0,,,161.308766,161.308766
RAJESH KUMAR AGARWAL,1,15625000,15625000.0,7.84,15625000.0,7.84,15625000.0,NACLIND,524709,2031.89,,,,,,,159.300176,159.94391
RAJESH KUMAR AGARWAL,1,863715,863715.0,2.73,863715.0,2.73,863715.0,TELOGICA,532975,23.58,,1.78,,0.0,,,0.643734,159.94391
Upendra Rai,1,111000000,111000000.0,1.9,111000000.0,1.9,111000000.0,PCJEWELLER,534809,8348.58,,1.17,111000000.0,100.0,,,158.62302,158.62302
VIRAL AMAL PARIKH,1,594626,594626.0,2.44,594626.0,2.44,594626.0,ATFL,500215,3028.19,,,,,,,73.887836,158.609145
VIRAL AMAL PARIKH,1,1175000,1175000.0,1.12,1175000.0,1.12,1175000.0,JSFB,544118,4563.25,,,,0.0,,,51.10840000000001,158.609145
VIRAL AMAL PARIKH,1,270000,270000.0,1.11,270000.0,1.11,270000.0,ATFL,500215,3028.19,,,,,,,33.612909,158.609145
USHA C P,1,3028168,3028168.0,4.55,3028168.0,4.55,3028168.0,KITEX,521248,3464.32,,,,,,,157.62656,157.62656
Prasoon Bhatt,1,1490000,1490000.0,2.5,1490000.0,2.5,1490000.0,MANORAMA,541974,6173.27,,,,,,,154.33175000000003,154.33175000000003
SACHIN BANSAL (PARTNER OF SPV ENTERPRISES),1,931000,931000.0,6.43,931000.0,6.43,931000.0,SMLISUZU,505192,2394.04,,,,,,,153.936772,153.936772
Bhupendra M Shah (Trustee of AML Employee Welfare Trust),1,468690,468690.0,2.34,468690.0,2.34,468690.0,ANUP,542460,6487.57,,,,,,,151.80913799999996,151.80913799999996
ANAND SHANKAR MALL,1,3258584,3258584.0,2.01,3258584.0,2.01,3258584.0,SANDUMA,504918,7507.08,,,,,,,150.89230799999996,150.89230799999996
Chetan Jayantilal Shah,1,418400,418400.0,2.09,418400.0,2.09,418400.0,ANUP,542460,6487.57,,,,,,,135.59021299999998,149.35469299999997
Chetan Jayantilal Shah,1,480000,480000.0,1.92,480000.0,1.92,480000.0,DMCC,506405,716.9,,,,,,,13.76448,149.35469299999997
Kamath Associates,1,1504782,1504782.0,1.76,1504782.0,1.76,1504782.0,NAZARA,543280,8477.31,,,,0.0,,,149.200656,149.200656
LEELA RAMCHAND CHHABRIA,1,1779600,1779600.0,1.16,1779600.0,1.16,1779600.0,FINCABLES,500144,12828.55,,,,,,,148.81117999999998,148.81117999999998
Chirag Dilipkumar Lakhi,1,2953368,2953368.0,2.13,2953368.0,2.13,2953368.0,WELENT,532553,6909.62,,,,,,,147.174906,147.174906
Vaidyanath Balasubramanian,1,1421000,1421000.0,2.38,1421000.0,2.38,1421000.0,MANORAMA,541974,6173.27,,,,,,,146.923826,146.923826
PODDUTURU PREETHAM KUMAR,1,1129106,1129106.0,1.11,1129106.0,1.11,1129106.0,RAINBOW,543524,13222.03,,,,0.0,,,146.764533,146.764533
Jayant Aradhye,1,8086826,8086826.0,8.51,8086826.0,8.51,8086826.0,PRECAM,539636,1719.72,,,,,,,146.348172,146.348172
IRFANAHMED SHAHABUDDIN MOMBASAWALA,1,2257450,2257450.0,1.72,2257450.0,1.72,2257450.0,KPIGREEN,542323,8432.82,,,,0.0,,,145.044504,145.044504
MADHUKAR SHETH,1,817674,817674.0,7.54,817674.0,7.54,817674.0,NIMBSPROJ,511714,271.49,,,,,,,20.470346,143.72043399999998
MADHUKAR SHETH,1,7130950,7130950.0,5.22,7130950.0,5.22,7130950.0,SYSTMTXC,526506,1864.56,,,,0.0,,,97.330032,143.72043399999998
MADHUKAR SHETH,1,2697138,2697138.0,5.14,2697138.0,5.14,2697138.0,URSUGAR,539097,25.04,,,,,,,1.2870559999999998,143.72043399999998
MADHUKAR SHETH,1,8875640,8875640.0,4.56,8875640.0,4.56,8875640.0,VARIMAN,540570,185.24,,4.01,,,,,8.446944,143.72043399999998
MADHUKAR SHETH,1,932873,932873.0,3.27,932873.0,3.27,932873.0,KRRAIL,514360,488.08,,2.19,166667.0,17.87,,,15.960216,143.72043399999998
MADHUKAR SHETH,1,72846,72846.0,2.4,72846.0,2.4,72846.0,QUANTDIA,530281,9.41,,,,,,,0.22584,143.72043399999998
RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED,1,500000,500000.0,2.64,500000.0,2.64,500000.0,DHRUV,541302,135.63,,,500000.0,100.0,,,3.580632,143.113502
RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED,1,4085826,4085826.0,1.99,4085826.0,1.99,4085826.0,ORIENTCEM,535754,6925.54,,,,,,,137.81824600000002,143.113502
RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED,1,275108,275108.0,1.46,275108.0,1.46,275108.0,SURYALAXMI,521200,117.44,,,,,,,1.714624,143.113502
Sanjay Katkar,1,573448,573448.0,2.3,573448.0,2.3,573448.0,DMCC,506405,716.9,,,,,,,16.488699999999998,142.42340800000002
Sanjay Katkar,1,1215285,1215285.0,2.04,1215285.0,2.04,1215285.0,MANORAMA,541974,6173.27,,,,,,,125.934708,142.42340800000002
B SUMANTHKUMAR REDDY,1,7728025,7728025.0,2.05,7728025.0,2.05,7728025.0,KTKBANK,532652,6868.88,,,,,,,140.81204,140.81204
Mamta Ashok Loya,1,1508000,1508000.0,1.33,1508000.0,1.33,1508000.0,RRKABEL,543981,10469.01,,,,0.0,,,139.23783300000002,139.23783300000002
MANISHA LODHA,1,1455000,1455000.0,1.0,1455000.0,1.0,1455000.0,NAVA,513023,13857.11,,,,,,,138.5711,138.5711
MADHULIKA AGARWAL,1,440240,440240.0,3.54,440240.0,3.54,440240.0,UNIAUTO,539314,86.48,,3.28,,,,,3.061392,134.785031
MADHULIKA AGARWAL,1,1000000,1000000.0,2.52,1000000.0,2.52,1000000.0,PSPPROJECT,540544,2508.14,,,,,,,63.205128,134.785031
MADHULIKA AGARWAL,1,129018,129018.0,1.87,129018.0,1.87,129018.0,BPLPHARMA,541096,715.73,,,,,,,13.384151,134.785031
MADHULIKA AGARWAL,1,180000,180000.0,1.8,180000.0,1.8,180000.0,TANFACIND,506854,3063.02,,,,,,,55.13436000000001,134.785031
HITEN ANANTRAI SHETH,1,135778,135778.0,1.88,135778.0,1.88,135778.0,RANEENGINE,532988,212.73,,,,0.0,,,3.999323999999999,134.709574
